,PTS,AST,REB,FG_PCT
Shaquille O'Neal,14.886666666666667,1.5947169811320756,7.569056603773585,0.5894472955974842
Kobe Bryant,31.48030303030303,5.265151515151516,5.62594696969697,0.4429498106060606
Derrick Rose,13.170196078431372,2.896862745098039,2.072549019607843,0.44101137254901956
Dwight Howard,17.011851597389214,1.5322913088285814,11.354689110271385,0.5990408794228788
Carmelo Anthony,14.783333333333335,0.9102564102564102,5.603846153846154,0.39357051282051275
Allen Iverson,29.484349593495935,5.526626016260162,4.339227642276423,0.40614593495934953
Gilbert Arenas,7.510504201680673,2.4865546218487395,1.8794117647058823,0.33977815126050415
Paul Pierce,26.035196048163012,3.800324174127817,7.109447360296388,0.4307272306267367
Kevin Love,14.9125,2.849285714285714,8.603928571428572,0.4029232142857143
DeMar DeRozan,21.845708775313405,6.253134040501447,4.8803037608486015,0.5117170925747347
